City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
212,Karratha,AU,83.46,clear sky,-20.7377,116.8463,Karratha International Hotel
215,Yulara,AU,73.47,broken clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
218,Maun,BW,71.08,light rain,-19.9833,23.4167,Center Lodge Conference Center
220,Sanarate,GT,86.31,scattered clouds,14.795,-90.1922,Auto Hotel
221,Kalmunai,LK,77.18,overcast clouds,7.4167,81.8167,Saji new food
226,Sao Lourenco Do Sul,BR,74.82,broken clouds,-31.3653,-51.9783,HOTEL VILELA
227,Bani,DO,85.44,clear sky,18.2833,-70.3333,HOTEL GLAMOURS
228,Kapit,MY,73.54,moderate rain,2.0167,112.9333,Haip
230,Edea,CM,70.95,overcast clouds,3.8,10.1333,Taka Hotel
233,Mahebourg,MU,76.24,few clouds,-20.4081,57.7,Grand Bel Air
240,Lorengau,PG,83.41,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
243,Cockburn Town,TC,76.93,clear sky,21.4612,-71.1419,The Salt Raker Inn
246,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Fidji Motel
251,Marica,BR,80.55,scattered clouds,-22.9194,-42.8186,Pousada Vila Flor
253,Basco,PH,78.69,scattered clouds,20.4487,121.9702,Tawsen Hotel
256,Kapoeta,SS,81.27,clear sky,4.7717,33.5903,Kuleu
257,Noumea,NC,80.01,overcast clouds,-22.2763,166.4572,Hotel Gondwana
258,Marsh Harbour,BS,75.79,clear sky,26.5412,-77.0636,Lofty Fig Villas
259,Mabaruma,GY,77.23,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
271,Kloulklubed,PW,82.42,overcast clouds,7.0419,134.2556,The Adventures Inn
278,Grand Gaube,MU,76.37,scattered clouds,-20.0064,57.6608,Coco Villa
282,Garissa,KE,82.44,light rain,-0.4536,39.6401,Hiddig Hotel
283,Luganville,VU,81.63,overcast clouds,-15.5333,167.1667,Beachfront Resort
284,Boffa,GN,76.5,few clouds,10.1667,-14.0333,Cité Bagataye
288,Omboue,GA,77.76,overcast clouds,-1.5746,9.2618,Hôtel Georges Faustin Aurat
289,Saint-Philippe,RE,74.79,overcast clouds,-21.3585,55.7679,Le Baril
291,Sao Marcos,BR,71.2,broken clouds,-28.9711,-51.0681,Hotel São Marcos
292,Soure,BR,78.28,broken clouds,-0.7167,-48.5233,Hotel Marajó
297,Vao,NC,77.0,overcast clouds,-22.6667,167.4833,Nataiwatch
300,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
301,Sao Felix Do Xingu,BR,72.73,moderate rain,-6.6447,-51.995,Hotel Terraço
302,Upata,VE,86.2,overcast clouds,8.0086,-62.3989,Hotel Garibardi
303,Namibe,AO,75.04,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
305,Mendoza,AR,80.98,clear sky,-32.8908,-68.8272,Hotel Eben-Ezer
306,Pochutla,MX,85.82,few clouds,15.7432,-96.4661,Posada San Jose
310,Bengkulu,ID,74.17,overcast clouds,-3.8004,102.2655,Dena Hotel
312,Kavieng,PG,82.81,overcast clouds,-2.5744,150.7967,Kavieng Hotel
325,The Valley,AI,78.94,few clouds,18.217,-63.0578,CeBlue
327,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Mediterrâneo
328,Sao Filipe,CV,72.3,scattered clouds,14.8961,-24.4956,Bela Vista
332,Palmas,BR,84.07,scattered clouds,-10.2128,-48.3603,Hotel Triângulo Mineiro
