City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Port Blair,IN,2023-03-23 18:52:59,11.6667,92.75,80.64,83,20,2.3
112,Torbay,CA,2023-03-23 18:52:59,47.6666,-52.7314,34.57,72,75,19.57
113,Montalban,FR,2023-03-23 18:52:59,44.0167,1.35,57.99,79,100,7.49
114,Bijie,CN,2023-03-23 18:53:00,27.3125,105.2942,46.44,89,100,4.97
115,Chuy,UY,2023-03-23 18:51:12,-33.6971,-53.4616,74.55,84,81,6.6
116,Arraial Do Cabo,BR,2023-03-23 18:53:00,-22.9661,-42.0278,85.96,74,20,11.5
117,Clinton,US,2023-03-23 18:53:00,42.587,-82.9199,50.02,87,100,12.66
118,Denizli,TR,2023-03-23 18:50:30,37.8402,29.0698,55.44,74,84,2.37
119,Coquimbo,CL,2023-03-23 18:53:01,-29.9533,-71.3436,69.53,73,20,14.97
120,Codrington,AU,2023-03-23 18:53:01,-38.2667,141.9667,58.41,77,91,11.9
121,Galle,LK,2023-03-23 18:53:02,6.0367,80.217,79.11,80,100,3.49
122,Bethel,US,2023-03-23 18:53:02,41.3712,-73.414,53.69,84,100,9.22
123,Geraldton,AU,2023-03-23 18:53:03,-28.7667,114.6,68.41,88,96,11.5
124,Mayumba,GA,2023-03-23 18:53:03,-3.432,10.6554,78.19,85,100,4.52
125,Kavieng,PG,2023-03-23 18:53:04,-2.5744,150.7967,81.46,72,95,9.1
126,San Alberto,CO,2023-03-23 18:53:04,7.7611,-73.3922,92.39,50,98,4.5
127,Chapais,CA,2023-03-23 18:53:04,49.7834,-74.8492,29.98,99,100,8.34
128,Malanje,AO,2023-03-23 18:53:05,-9.5402,16.341,65.23,96,100,3.85
129,Clyde River,CA,2023-03-23 18:53:05,70.4692,-68.5914,-9.17,64,0,3.44
130,Maues,BR,2023-03-23 18:52:12,-3.3836,-57.7186,83.05,80,98,2.93
131,Lagoa,PT,2023-03-23 18:53:06,39.05,-27.9833,57.18,59,51,15.21
132,Puerto Ayora,EC,2023-03-23 18:54:06,-0.7393,-90.3518,85.96,83,90,8.99
133,Manono,CD,2023-03-23 18:54:06,-7.3,27.4167,70.38,94,99,3.89
134,Hayden,US,2023-03-23 18:54:06,47.766,-116.7866,43.45,75,100,10.36
135,Carutapera,BR,2023-03-23 18:54:07,-1.195,-46.02,80.08,84,84,4.18
136,Isangel,VU,2023-03-23 18:54:07,-19.55,169.2667,77.11,94,75,0.0
137,Carnarvon,AU,2023-03-23 18:54:07,-24.8667,113.6333,77.11,71,46,13.8
138,Bam,IR,2023-03-23 18:54:08,29.106,58.357,55.69,55,48,6.26
139,Sur,OM,2023-03-23 18:54:08,22.5667,59.5289,74.5,50,0,1.41
140,Scarborough,GB,2023-03-23 18:54:02,54.2797,-0.4044,50.92,79,100,3.0
141,Piacabucu,BR,2023-03-23 18:53:18,-10.4056,-36.4344,83.12,66,6,11.61
142,Ponta Do Sol,PT,2023-03-23 18:54:09,32.6667,-17.1,66.7,74,45,3.56
143,Bengkulu,ID,2023-03-23 18:49:24,-3.8004,102.2655,75.9,92,100,0.58
144,Sao Filipe,CV,2023-03-23 18:54:10,14.8961,-24.4956,71.91,67,0,10.38
145,Tateyama,JP,2023-03-23 18:54:11,34.9833,139.8667,68.09,92,100,31.81
146,Antofagasta,CL,2023-03-23 18:54:11,-23.65,-70.4,72.68,69,41,8.21
147,Ketchikan,US,2023-03-23 18:54:12,55.3422,-131.6461,39.18,93,100,6.91
