City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
116,Las Palmas,ES,28.4204,-14.0131,63.39,82,20,16.11,few clouds
117,Terrace,CA,54.5163,-128.6035,44.31,75,100,3.33,light rain
118,Kysyl-Syr,RU,63.8986,122.7617,21.16,93,100,9.8,overcast clouds
119,Mayo,US,38.8876,-76.5119,49.14,84,100,6.91,moderate rain
120,Saravena,CO,6.9538,-71.8752,91.76,34,43,3.04,scattered clouds
121,Kichera,RU,55.9375,110.0997,2.19,83,5,3.87,clear sky
122,Tuatapere,NZ,-46.1333,167.6833,55.36,90,100,7.0,overcast clouds
123,Cabo San Lucas,MX,22.8909,-109.9124,81.7,53,0,9.22,clear sky
124,Port Elizabeth,ZA,-33.918,25.5701,72.1,92,20,11.5,few clouds
125,San Luis,AR,-33.295,-66.3356,72.03,75,56,8.32,broken clouds
126,Honiara,SB,-9.4333,159.95,81.34,79,99,4.7,overcast clouds
127,Robstown,US,27.7903,-97.6689,93.54,39,40,6.91,scattered clouds
128,Clyde River,CA,70.4692,-68.5914,-17.68,94,25,0.98,scattered clouds
129,Lazaro Cardenas,MX,17.9583,-102.2,82.51,59,84,9.91,broken clouds
130,Bredasdorp,ZA,-34.5322,20.0403,63.54,80,99,3.31,overcast clouds
131,Mareeba,AU,-17.0,145.4333,73.44,87,26,4.99,scattered clouds
132,Ribeira Grande,PT,38.5167,-28.7,54.0,87,75,3.0,light rain
133,Komsomolskiy,UZ,40.4272,71.7189,50.72,62,68,9.22,broken clouds
134,Puerto Ayora,EC,-0.7393,-90.3518,85.96,88,66,5.01,broken clouds
135,Sitka,US,57.0531,-135.33,40.89,81,100,6.91,light rain
136,Klaksvik,FO,62.2266,-6.589,36.52,62,100,25.52,overcast clouds
137,Mackay,AU,-21.15,149.2,79.68,70,3,9.48,clear sky
138,Dingle,PH,10.9995,122.6711,76.08,90,55,7.05,broken clouds
139,Bluff,NZ,-46.6,168.3333,57.79,75,98,18.32,overcast clouds
140,Samarai,PG,-10.6167,150.6667,79.74,84,100,10.69,overcast clouds
141,Platteville,US,42.7342,-90.4785,48.51,40,0,11.5,clear sky
142,Saldanha,ZA,-33.0117,17.9442,61.99,91,35,15.68,scattered clouds
143,Berdychiv,UA,49.8993,28.6024,56.07,61,100,12.84,overcast clouds
